PLAYER,,TEAM,2026,CH 25-26,ST 25-26,2027,CH 26-27,ST 26-27,TEAM STATUS,CAP SPACE,RAT 365,NO TRADE,RESTRICTIONS,1st APRON,HARD CAP 1st?,2nd APRON,HARD CAP 2nd?,NOT AGGREGATED,POISON PILL,EXCEPTION,TAX ROOM,OUT?,REASON,LOGO,HEADSHOT,POSITION,AGE,GAMES,END,TOTAL GUARANTEED,TRADE KICKER,UNLIKELY BONUS,NO TRADE TO,TEAM,SALARIES,CAP HOLDS,DEAD MONEY,CAP SPACE,CAP SPACE NO HOLDS,TAX LIMIT,TAX APRON,PLAYERS,FULL TIME,TWO-WAYS,GUARANTEED,10-DAY,NOT G,CAP HOLD ROSTER,ACTIVE SALARIES (CH),DEAD MONEY,CAP HOLD,CAP SPACE,TAX,1st APRON,HARD CAP 1st?,2nd APRON,HARD CAP 2nd?,STATUS,,TRADE EXCEPTION,DATE,VALUE,,DRAFT TEAM,ROUND,DRAFT YEAR,SURE PICK?,NOTES,LINKED TO,,DRAFT RIGHTS,DRAFTED YEAR,TEAM RIGHTS,,Jonathan Kuminga,,Out,Left Knee Bone Bruise,,,Cole Anthony,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1630175.png,,,,,,,Cole Anthony,Cole Anthony,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1630175.png,,,TEAM,SALARIES,CAP HOLDS,DEAD MONEY,CAP SPACE,CAP SPACE NO HOLDS,TAX LIMIT,TAX APRON,PLAYERS,FULL TIME,TWO-WAYS,GUARANTEED,10-DAY,NOT G,CAP HOLD ROSTER,ACTIVE SALARIES (CH),DEAD MONEY,CAP HOLD,CAP SPACE,TAX,1st APRON,HARD CAP 1st?,2nd APRON,HARD CAP 2nd?,,TEAM,WAIVED,2025-26,2026-27,2027-28,2028-29,2029-30,2030-31
Drake Powell,,Brooklyn,"$3,372,240","$3,372,240",GUARANTEED,"$3,540,600","$3,540,600",GUARANTEED,CAP SPACE,"$3,653,843",2.86,,,"$44,180,792",,"$56,059,792",HC 2nd,,,Rookie Exception,"$36,725,392",,,https://mediacentral.nba.com/wp-content/uploads/logos/nba/bkn/bkn_primary-icon.jpg,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1642962.png,SG,20-277,63,2029,"$6,912,840",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,New Orleans,07/06/2026,"$13,445,122",,Brooklyn,2nd,2027,YES,From LA Lakers (if LAL conveys 2027 first-round pick to UTA),,,Stanko Barac,2007,Dallas,,De'Anthony Melton,,Available,Left Gluteal Contusion,,,Moussa Cisse,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1630619.png,,,,,,,Moussa Cisse,Moussa Cisse,https://i.imgur.com/Ln0jIy6.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cleveland,Emanuel Miller,"$636,435",,,,,
Ben Saraf,,Brooklyn,"$2,884,560","$2,884,560",GUARANTEED,"$3,028,560","$3,028,560",GUARANTEED,CAP SPACE,"$3,653,843",2.12,,,"$44,180,792",,"$56,059,792",HC 2nd,,,Rookie Exception,"$36,725,392",,,https://mediacentral.nba.com/wp-content/uploads/logos/nba/bkn/bkn_primary-icon.jpg,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1642879.png,PG,20-59,44,2029,"$5,913,120",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,New Orleans,02/04/2027,"$4,500,000",,Brooklyn,2nd,2028,YES,Own pick,,,Renaldas Seibutis,2007,Cleveland,,Will Richard,,Out,Right Knee Contusion,,,Tristan Vukcevic,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1641774.png,,,,,,,Tristan Vukcevic,Tristan Vukcevic,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1641774.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cleveland,Chris Livingston,"$527,611",,,,,
Danny Wolf,,Brooklyn,"$2,801,280","$2,801,280",GUARANTEED,"$2,941,440","$2,941,440",GUARANTEED,CAP SPACE,"$3,653,843",4.05,,,"$44,180,792",,"$56,059,792",HC 2nd,,,Rookie Exception,"$36,725,392",,,https://mediacentral.nba.com/wp-content/uploads/logos/nba/bkn/bkn_primary-icon.jpg,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1642874.png,C,22-38,57,2029,"$5,742,720",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,New York,02/06/2026,"$899,118",,Brooklyn,2nd,2028,YES,From Atlanta,,,Brad Newley,2007,New York,,Fred VanVleet,,Out,Right Knee ACL Repair,,,Pj Washington,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1629023.png,,,,,,,Pj Washington,Pj Washington,https://i.imgur.com/6TyjIA0.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cleveland,Nae'Qwan Tomlin,"$366,754",,,,,
Josh Minott,,Brooklyn,"$2,378,870","$2,378,870",GUARANTEED,"$2,584,539",$0,TEAM OPT,CAP SPACE,"$3,653,843",3.82,,,"$44,180,792",,"$56,059,792",HC 2nd,,,Minimum Salary Exception,"$36,725,392",,,https://mediacentral.nba.com/wp-content/uploads/logos/nba/bkn/bkn_primary-icon.jpg,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1631169.png,SF,24-158,49,2027,"$2,378,870",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,New York,02/04/2027,"$100,882",,Brooklyn,2nd,2028,YES,From Memphis,,,Georgios Printezis,2007,San Antonio,,Steven Adams,,Out,Left Ankle Surgery,,,Anfernee Simons,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1629014.png,,,,,,,Anfernee Simons,Anfernee Simons,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1629014.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dallas,Tyus Jones,"$7,000,000",,,,,
Jalen Wilson,,Brooklyn,"$2,221,677","$2,221,677",GUARANTEED,,,,CAP SPACE,"$3,653,843",2.17,,,"$44,180,792",,"$56,059,792",HC 2nd,,,Mid-Level Exception,"$36,725,392",,,https://mediacentral.nba.com/wp-content/uploads/logos/nba/bkn/bkn_primary-icon.jpg,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1630592.png,SF,25-220,54,2026,"$2,221,677",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Oklahoma City,02/04/2027,"$2,449,522",,Brooklyn,2nd,2028,YES,From Philadelphia (if PHI 2028 first-round pick is Top-8),,,Milovan Rakovic,2007,Portland,,Tari Eason,,Available,Left Lower Leg Injury Management,,,Zach Collins,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1628380.png,,,,,,,Zach Collins,Zach Collins,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1628380.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dallas,JaVale McGee,"$2,208,856","$2,208,856","$2,208,856",,,
Tyson Etienne,,Brooklyn,"$636,435",$0,TWO-WAY,,,,CAP SPACE,"$3,653,843",1.22,,,"$44,180,792",,"$56,059,792",HC 2nd,,,,"$36,725,392",,,https://mediacentral.nba.com/wp-content/uploads/logos/nba/bkn/bkn_primary-icon.jpg,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1630623.png,PG,26-269,24,2026,$0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Oklahoma City,06/28/2026,"$501,669",,Brooklyn,2nd,2029,YES,Own pick,,,Ante Tomic,2008,Portland,,Alperen Sengun,,Available,Left Lower Leg Contusion,,,Aaron Gordon,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/203932.png,,,,,,,Aaron Gordon,Aaron Gordon,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/203932.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dallas,Olivier-Maxence Prosper,"$1,002,360","$1,002,360","$1,002,360",,,
EJ Liddell,,Brooklyn,"$636,435",$0,TWO-WAY,,,,CAP SPACE,"$3,653,843",1.17,,,"$44,180,792",,"$56,059,792",HC 2nd,,,,"$36,725,392",,,https://mediacentral.nba.com/wp-content/uploads/logos/nba/bkn/bkn_primary-icon.jpg,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1630604.png,PF,25-176,26,2026,$0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Orlando,02/04/2027,"$7,000,000",,Brooklyn,2nd,2029,YES,From Dallas,,,DeVon Hardin,2008,Oklahoma City,,Dorian Finney-Smith,,Out,Left Ankle Injury Management,,,Franz Wagner,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1630532.png,,,,,,,Franz Wagner,Franz Wagner,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1630532.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dallas,Jeremiah Robinson-Earl,"$141,463",,,,,
Chaney Johnson,,Brooklyn,"$347,451",$0,TWO-WAY,,,,CAP SPACE,"$3,653,843",1.30,,,"$44,180,792",,"$56,059,792",HC 2nd,,,,"$36,725,392",,,https://mediacentral.nba.com/wp-content/uploads/logos/nba/bkn/bkn_primary-icon.jpg,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1643052.png,SF,23-327,17,2026,$0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Philadelphia,02/04/2027,"$4,221,360",,Brooklyn,2nd,2029,YES,From Golden State,,,Tadija Dragicevic,2008,New York,,Tyrese Haliburton,,Out,Right Achilles Tendon Tear,,,Kris Dunn,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1627739.png,,,,,,,Kris Dunn,Kris Dunn,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1627739.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dallas,Miles Kelly,"$636,435",,,,,
Malachi Smith,,Brooklyn,"$65,838","$65,838",GUARANTEED,"$2,150,917",$0,NOT G,CAP SPACE,"$3,653,843",1.21,,,"$44,180,792",,"$56,059,792",HC 2nd,,,Minimum Salary Exception,"$36,725,392",,,https://mediacentral.nba.com/wp-content/uploads/logos/nba/bkn/bkn_primary-icon.jpg,https://ak-static.cms.nba.com/wp-content/uploads/headshots/gleague/1040x760/1641869.png,SG,26-189,15,2027,"$65,838",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Philadelphia,02/04/2027,"$2,296,274",,Brooklyn,2nd,2029,YES,From Memphis,,,Maarty Leunen,2008,Indiana,,Obi Toppin,,Out,Right Foot Stress Fracture,,,Stephen Curry,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/201939.png,,,,,,,Stephen Curry,Stephen Curry,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/201939.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dallas,Ryan Nembhard,"$421,445",,,,,
LaMelo Ball,,Charlotte,"$37,958,760","$37,958,760",GUARANTEED,"$40,770,520","$40,770,520",GUARANTEED,BELOW TAX,"-$29,159,358",13.95,,,"$10,805,309",HC 1st,"$22,684,309",,,,Bird Exception,"$4,088,642",,,https://mediacentral.nba.com/wp-content/uploads/logos/nba/cha/cha_primary-icon.jpg,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1630163.png,PG,24-294,74,2029,"$168,705,600",15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Phoenix,02/04/2027,"$5,000,000",,Brooklyn,2nd,2030,YES,Own pick,,,Sergio Llull,2009,New York,,Johnny Furphy,,Out,Right Knee Torn ACL,,,KJ Simpson,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1642354.png,,,,,,,KJ Simpson,KJ Simpson,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1642354.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,Denver,Spencer Jones,"$392,491",,,,,
Miles Bridges,,Charlotte,"$25,000,000","$25,000,000",GUARANTEED,"$22,826,087","$22,826,087",GUARANTEED,BELOW TAX,"-$29,159,358",13.12,,,"$10,805,309",HC 1st,"$22,684,309",,,,Bird Exception,"$4,088,642",,,https://mediacentral.nba.com/wp-content/uploads/logos/nba/cha/cha_primary-icon.jpg,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1628970.png,PF,28-83,79,2027,"$47,826,087",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Phoenix,06/30/2026,"$3,628,720",,Brooklyn,2nd,2030,YES,From Boston,,,Henk Norel,2009,Minnesota,,Ivica Zubac,,Out,Left Ankle Sprain,,,Isaac Okoro,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1630171.png,,,,,,,Isaac Okoro,Isaac Okoro,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1630171.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,Denver,Tamar Bates,"$636,435",,,,,
Josh Green,,Charlotte,"$13,666,667","$13,666,667",GUARANTEED,"$14,679,012","$14,679,012",GUARANTEED,BELOW TAX,"-$29,159,358",2.91,,,"$10,805,309",HC 1st,"$22,684,309",,,,Bird Exception,"$4,088,642",,,https://mediacentral.nba.com/wp-content/uploads/logos/nba/cha/cha_primary-icon.jpg,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1630182.png,SG,25-208,60,2027,"$28,345,679",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Phoenix,02/04/2027,"$2,048,494",,Brooklyn,2nd,2030,YES,From Dallas,,,Sergii Gladyr,2009,Cleveland,,Jarace Walker,,Available,Illness,,,Nick Richards,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1630208.png,,,,,,,Nick Richards,Nick Richards,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1630208.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,Detroit,Dario Saric,"$5,426,400",,,,,
Grant Williams,,Charlotte,"$13,645,500","$13,645,500",GUARANTEED,"$14,265,750","$14,265,750",GUARANTEED,BELOW TAX,"-$29,159,358",3.02,,,"$10,805,309",HC 1st,"$22,684,309",,,,Bird Exception,"$4,088,642",,,https://mediacentral.nba.com/wp-content/uploads/logos/nba/cha/cha_primary-icon.jpg,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1629684.png,PF,27-194,38,2027,"$27,911,250",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sacramento,01/31/2027,"$5,426,000",,Brooklyn,2nd,2030,YES,From LA Lakers,,,Emir Preldzic,2009,New York,,TJ McConnell,,Out,Right Hamstring Soreness,,,Ron Holland,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1641842.png,,,,,,,Ron Holland,Ron Holland,https://i.imgur.com/8gWFvZT.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,Detroit,Isaac Jones,"$1,955,377",,,,,
Coby White,,Charlotte,"$12,888,889","$12,888,889",GUARANTEED,,,,BELOW TAX,"-$29,159,358",7.74,,,"$10,805,309",HC 1st,"$22,684,309",,,,Bird Exception,"$4,088,642",,,https://mediacentral.nba.com/wp-content/uploads/logos/nba/cha/cha_primary-icon.jpg,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1629632.png,SG,26-117,52,2026,"$12,888,889",,"$1,333,333",Chicago,,,,,,,,,,,,,,,,,,,,,,,,,,,Sacramento,07/13/2026,"$4,968,600",,Brooklyn,2nd,2031,YES,Own pick,,,Chinemelu Elonu,2009,LA Lakers,,Andrew Nembhard,,Out,Low Back Injury Management,,,Cj Mccollum,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/203468.png,,,,,,,Cj Mccollum,Cj Mccollum,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/203468.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,Detroit,Bobi Klintman,"$1,955,377",,,,,
Brandon Miller,,Charlotte,"$11,968,800","$11,968,800",GUARANTEED,"$15,104,626","$15,104,626",GUARANTEED,BELOW TAX,"-$29,159,358",12.10,,,"$10,805,309",HC 1st,"$22,684,309",,,,Rookie Exception,"$4,088,642",,,https://mediacentral.nba.com/wp-content/uploads/logos/nba/cha/cha_primary-icon.jpg,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1641706.png,SG,23-202,67,2027,"$27,073,426",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sacramento,02/06/2026,"$2,120,693",,Brooklyn,2nd,2031,YES,From LA Lakers,,,Paulao Prestes,2010,Minnesota,,Aaron Nesmith,,Out,Low Back Soreness,,,Jalen Smith,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1630188.png,,,,,,,Jalen Smith,Jalen Smith,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1630188.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,Detroit,Daniss Jenkins,"$360,319",,,,,
Kon Knueppel,,Charlotte,"$10,015,680","$10,015,680",GUARANTEED,"$10,516,560","$10,516,560",GUARANTEED,BELOW TAX,"-$29,159,358",14.01,,,"$10,805,309",HC 1st,"$22,684,309",,,,Rookie Exception,"$4,088,642",,,https://mediacentral.nba.com/wp-content/uploads/logos/nba/cha/cha_primary-icon.jpg,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1642851.png,SG,20-313,83,2029,"$20,532,240",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sacramento,02/05/2026,"$1,891,857",,Brooklyn,2nd,2032,YES,Own pick,,,Latavious Williams,2010,New York,,Micah Potter,,Available,Left Ankle Sprain,,,Joel Embiid,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/203954.png,,,,,,,Joel Embiid,Joel Embiid,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/203954.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,Detroit,Colby Jones,"$85,300",,,,,
Tre Mann,,Charlotte,"$8,000,000","$8,000,000",GUARANTEED,"$8,000,000","$8,000,000",GUARANTEED,BELOW TAX,"-$29,159,358",1.92,,,"$10,805,309",HC 1st,"$22,684,309",,,,Bird Exception,"$4,088,642",,,https://mediacentral.nba.com/wp-content/uploads/logos/nba/cha/cha_primary-icon.jpg,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1630544.png,PG,25-129,54,2028,"$16,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Toronto,02/04/2027,"$6,383,525",,Brooklyn,2nd,2032,YES,From Miami,,,Dwayne Collins,2010,Phoenix,,Pascal Siakam,,Out,Left Hamstring Soreness,,,KyShawn George,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1642273.png,,,,,,,KyShawn George,KyShawn George,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1642273.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,Golden State,Omer Yurtseven,"$282,926",,,,,
Tidjane Salaun,,Charlotte,"$7,863,240","$7,863,240",GUARANTEED,"$8,237,880","$8,237,880",GUARANTEED,BELOW TAX,"-$29,159,358",2.48,,,"$10,805,309",HC 1st,"$22,684,309",,,,Rookie Exception,"$4,088,642",,,https://mediacentral.nba.com/wp-content/uploads/logos/nba/cha/cha_primary-icon.jpg,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1642275.png,PF,20-306,38,2028,"$16,101,120",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Utah,02/06/2026,"$2,296,274",,Brooklyn,2nd,2032,YES,From Toronto,,,Jon Diebler,2011,Chicago,,Darius Garland,,Out,Right Great Toe Sprain,,,Austin Reaves,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1630559.png,,,,,,,Austin Reaves,Austin Reaves,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1630559.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,Golden State,Pat Spencer,"$353,885",,,,,
Liam McNeeley,,Charlotte,"$2,763,960","$2,763,960",GUARANTEED,"$2,902,080","$2,902,080",GUARANTEED,BELOW TAX,"-$29,159,358",1.09,,,"$10,805,309",HC 1st,"$22,684,309",,,,Rookie Exception,"$4,088,642",,,https://mediacentral.nba.com/wp-content/uploads/logos/nba/cha/cha_primary-icon.jpg,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1642862.png,SF,20-245,32,2029,"$5,666,040",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Utah,02/04/2027,"$2,296,274",,Brooklyn,2nd,2032,YES,From Denver,,,Milan Macvan,2011,Cleveland,,Bradley Beal,,Out,Left Hip Fracture,,,Naz Reid,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1629675.png,,,,,,,Naz Reid,Naz Reid,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1629675.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,Golden State,Alex Toohey,"$157,640",,,,,
Xavier Tillman,,Charlotte,"$2,546,675","$2,546,675",GUARANTEED,,,,BELOW TAX,"-$29,159,358",0.57,,,"$10,805,309",HC 1st,"$22,684,309",,,,Minimum Salary Exception,"$4,088,642",,,https://mediacentral.nba.com/wp-content/uploads/logos/nba/cha/cha_primary-icon.jpg,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1630214.png,PF,27-151,31,2026,"$2,546,675",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Utah,02/04/2027,"$2,296,274",,Charlotte,1st,2026,YES,Own pick,,,Chu Maduabum,2011,Cleveland,,Nicolas Batum,,Out,Rest,,,Sidy Cissoko,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1631321.png,,,,,,,Sidy Cissoko,Sidy Cissoko,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1631321.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,Golden State,Jackson Rowe,"$135,120",,,,,
Ryan Kalkbrenner,,Charlotte,"$2,296,274","$2,296,274",GUARANTEED,"$2,411,090","$2,411,090",GUARANTEED,BELOW TAX,"-$29,159,358",7.58,,,"$10,805,309",HC 1st,"$22,684,309",,,,Second Round Exception,"$4,088,642",,,https://mediacentral.nba.com/wp-content/uploads/logos/nba/cha/cha_primary-icon.jpg,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1641750.png,C,24-146,71,2029,"$4,707,364",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Utah,07/07/2026,"$2,215,000",,Charlotte,1st,2026,YES,"Worst between MEM, ORL, PHX and WAS (if 1-8)",,,Adam Hanga,2011,San Antonio,,Luka Doncic,,Out,Left Hamstring Strain,,,D'Angelo Russell,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1626156.png,,,,,,,D'Angelo Russell,D'Angelo Russell,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1626156.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,Houston,Tyler Smith,"$85,300","$85,300",,,,
Sion James,,Charlotte,"$2,296,274","$2,296,274",GUARANTEED,"$2,411,090","$2,411,090",GUARANTEED,BELOW TAX,"-$29,159,358",5.03,,,"$10,805,309",HC 1st,"$22,684,309",,,,Second Round Exception,"$4,088,642",,,https://mediacentral.nba.com/wp-content/uploads/logos/nba/cha/cha_primary-icon.jpg,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1642883.png,SG,23-190,84,2029,"$4,707,364",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Washington,07/09/2026,"$13,445,122",,Charlotte,1st,2027,YES,Own pick,,,Izzet Turkyilmaz,2012,Denver,,Deandre Ayton,,Questionable,Right Knee Soreness,,,Will Riley,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1642860.png,,,,,,,Will Riley,Will Riley,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1642860.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,Houston,JD Davison,"$543,696",,,,,
Moussa Diabate,,Charlotte,"$2,270,735","$2,270,735",GUARANTEED,"$2,461,462","$2,461,462",GUARANTEED,BELOW TAX,"-$29,159,358",10.18,,,"$10,805,309",HC 1st,"$22,684,309",,,,Room Mid-Level Exception,"$4,088,642",,,https://mediacentral.nba.com/wp-content/uploads/logos/nba/cha/cha_primary-icon.jpg,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1631217.png,C,24-142,75,2027,"$4,732,197",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Charlotte,1st,2027,,From Dallas (if 3-30),,,Alex Oriakhi,2013,Sacramento,,LeBron James,,Available,Left Foot Arthritis,,,Dylan Cardwell,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1642928.png,,,,,,,Dylan Cardwell,Dylan Cardwell,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1642928.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,Indiana,Tony Bradley,"$1,599,165",,,,,
Pat Connaughton,,Charlotte,"$1,315,814","$1,315,814",GUARANTEED,"$3,815,861",$0,TEAM OPT,BELOW TAX,"-$29,159,358",1.33,,,"$10,805,309",HC 1st,"$22,684,309",,,,Minimum Salary Exception,"$4,088,642",,,https://mediacentral.nba.com/wp-content/uploads/logos/nba/cha/cha_primary-icon.jpg,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1626192.png,SF,33-157,43,2027,"$1,315,814",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Charlotte,1st,2027,,From Miami (if 15-30),,,Bojan Dubljevic,2013,New York,,Austin Reaves,,Available,Left Calf Injury Management,,,Keyonte George,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1641718.png,,,,,,,Keyonte George,Keyonte George,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1641718.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,Indiana,James Wiseman,"$1,131,970",,,,,
Antonio Reeves,,Charlotte,"$636,435",$0,TWO-WAY,,,,BELOW TAX,"-$29,159,358",0.22,,,"$10,805,309",HC 1st,"$22,684,309",,,,,"$4,088,642",,,https://mediacentral.nba.com/wp-content/uploads/logos/nba/cha/cha_primary-icon.jpg,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1641810.png,SG,25-204,10,2026,$0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Charlotte,1st,2028,YES,Own pick,,,Nemanja Dangubic,2014,Memphis,,Marcus Smart,,Available,Right Ankle Soreness,,,Ryan Nembhard,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1642948.png,,,,,,,Ryan Nembhard,Ryan Nembhard,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1642948.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,Indiana,Jeremiah Robinson-Earl,"$589,305",,,,,
